year,variable_name,age_group_label,age_min,age_max,metric,value,unit,scale,notes
2018,ahv_einnahmen,30-34,30,34,n_personen,628238.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,30-34,30,34,sum_einkommen,39737671047.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,30-34,30,34,sum_beitrag_ahv,3337964367.948,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,35-39,35,39,n_personen,609445.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,35-39,35,39,sum_einkommen,43559128110.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,35-39,35,39,sum_beitrag_ahv,3658966761.24,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,40-44,40,44,n_personen,571517.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,40-44,40,44,sum_einkommen,45284233281.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,40-44,40,44,sum_beitrag_ahv,3803875595.604,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,45-49,45,49,n_personen,593279.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,45-49,45,49,sum_einkommen,50514984530.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,45-49,45,49,sum_beitrag_ahv,4243258700.52,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,50-54,50,54,n_personen,617565.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,50-54,50,54,sum_einkommen,53664678941.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,50-54,50,54,sum_beitrag_ahv,4507833031.044,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,55-59,55,59,n_personen,522209.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,55-59,55,59,sum_einkommen,44499401970.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,55-59,55,59,sum_beitrag_ahv,3737949765.48,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,60-64,60,64,n_personen,346137.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,60-64,60,64,sum_einkommen,25904720618.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,60-64,60,64,sum_beitrag_ahv,2175996531.912,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,65-69,65,69,n_personen,65679.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,65-69,65,69,sum_einkommen,3318896826.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,65-69,65,69,sum_beitrag_ahv,278787333.384,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,70-74,70,74,n_personen,16965.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,70-74,70,74,sum_einkommen,776306572.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,70-74,70,74,sum_beitrag_ahv,65209752.048,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,75+,75,100,n_personen,8272.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,75+,75,100,sum_einkommen,401862859.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,75+,75,100,sum_beitrag_ahv,33756480.156,CHF,chf,nur_arbeitnehmende
2019,ahv_einnahmen,<20,0,19,n_personen,139977.0,Anzahl,count,nur_arbeitnehmende
2019,ahv_einnahmen,<20,0,19,sum_einkommen,1806805922.0,CHF,chf,nur_arbeitnehmende
